IDLink,SentimentTitle,SentimentHeadline
BJ8bLZcYcm,0.013488300005187094,0.0313328974051231
ph8TGKbvNp,0.03249097310669761,0.03942901706184794
qJDgUHX7Ay,0.009563865671046603,0.03136526638400143
2MVdzsl9s1,-0.04282898320245891,-0.06268196724268722
6QFCqKq50Q,-0.022909748635986816,-0.08789843774101563
50Gqd3bxAP,0.028641657246473544,-0.06401785868273921
4XFbet5nuU,0.02067499668347731,-0.01345061847126262
EHxfGLWj4D,0.016359367977549926,-0.044153001146362184
GIgCdpoXQg,-0.075399813203079,-0.20554274600984984
FsU13jkSUN,-0.003398114164907419,-0.059954941140800494
cH6jw5NJZG,0.0952431628195261,0.05983176699659416
1ZGtTCOMob,0.017013030451169857,-0.00480377224923309
tLEIzoyy1U,-0.01120638947417681,-0.0636274006438412
LT0vJ9e8RL,-0.008751900935545169,-0.04614542478302821
fLhSewI7hl,-0.045498011682035225,-0.06271773514782743
BKmMCCyI24,-0.020818256508028283,-0.0648392928850713
zLfTXlitf4,0.0369881326267069,0.002179117587468554
D1UGJpSrZZ,0.019720787306093463,0.03187213254788094
N1XTITfsp6,-0.012269031006351225,-0.003932167678303922
0V9oxMjhMt,0.010095506256741594,-0.020615938084941998
QxelQ72MHw,-0.025282369356493854,-0.10490961979666454
QFFMn7zny3,-0.024672409376689658,-0.10156620418872236
vdaz9Fh4fW,-0.013089721225541128,-0.03045336205749951
0bjK2pD5rA,-0.012655105540031658,-0.010182271392320925
8Jxwu73QQv,-0.012561013965123047,-0.0381036790803529
eGtKac5AXJ,0.013801486959390085,-0.08048917764993091
AGtThiCr7x,-0.017151836266778422,-0.058548956302696215
0Hfy3CCYJa,0.01531850657467931,-0.08776089256097525
g27NPRephl,-0.028999793680095403,-0.0417074874905719
0Wehiw0tBL,0.006190598911804457,-0.026720519500937776
VRxipL5riY,0.002997010495157593,-0.037844813609662534
3K4eXrUlyP,0.003927306620317334,0.0032980934489802607
pa7mr0QqnS,0.1412701452793969,0.11943138386786399
5HThJgCXIX,-0.006467339188977282,-0.004725500326425321
0cUq3TlR5f,-0.012642279008767429,-0.09083175014244074
fogM0b67t5,-0.03450676790512207,-0.0019125645010391237
YzSvy02P3B,0.03655012663365909,-0.028734405375222545
OG1zBKlj3N,-0.004863704451834517,-0.013575259211535524
FnJcunPbOF,-0.015610832220947607,-0.07882870080568412
NVJGg81Mms,-0.0054890547051921765,-0.0202622620120197
VGZZ7H3YKb,0.0023650837759501228,-0.11386167894631395
B46EUYuctp,0.00035977650523850036,-0.07067935560033821
3bd3U3lrhW,-0.025647203938627742,-0.044767159088949626
84f57mx4gn,-0.02969821510779697,-0.09370532521181685
BimmNqfZRd,0.013562025115760443,-0.03131713616280024
k63gxoTZi5,0.009836294988403098,-0.05277168336707305
uH0jqRu7sR,-0.0008266749366539748,-0.06613261563548221
cDwFSjq1JG,-0.03411164660572336,0.0167147798628264
jf4umpDSfA,-0.01224633360913241,-0.021753706691298426
tFAfztcQuK,0.039472301372900274,-0.023936568507029903
tBQiMTHGSD,0.002811146303337447,-0.06123106289955632
YC0n5DXjfM,-0.007059448323363655,-0.009848913288479793
Yrf1I3S2Dr,-0.0049537237601990575,-0.09399153022691967
YwivvYk2Lu,-0.030021471912000428,-0.10076638932338908
blmJgHfQww,-0.023105655270653797,-0.06319647661890608
egWxYuHaa6,-0.02733195980294406,0.022245718098326213
wzChuwPQWY,0.005381845908475968,-0.05335224061270727
7fbtuO6l6X,-0.02922404638316841,-0.13188439049049272
HJUwYCANy9,0.005132927996661377,-0.06865773807406442
Z0n3E3SCOG,-0.00924428065187967,-0.021147580463109942
pzyoJMc1bx,-0.004863619569471596,-0.013574710766335443
ZdlhOxH0bW,0.021855428149433836,0.03866264039402975
3SmervDVgI,0.026022251081589266,-0.0012881147329020454
RWMyLB189T,0.029431774790672657,-0.05368224733070217
W0pv3cFLri,-0.006106725994318542,-0.041808910860510105
sP7CUKKcQ8,0.024516855889501515,-0.007975401073411983
0zcT6xpqtC,-0.027877018114837625,-0.08392393247777905
t9LCLjmDvm,0.0007795768166010504,-0.06472924249538056
f8LQVyQxAW,0.03645294066455299,-0.0033264503477843654
WbpOGyB3D9,-0.06107680409131633,-0.0516176323888647
ijK4yvk480,-0.025309026425168496,-0.05290871370586928
06I3Fqhaop,0.023511573638870173,0.0382191593027882
xLlfOaTExA,-0.013061576550656418,-0.03401371711373293
7IKs3t0uh0,0.038095213405611006,-0.0318690442968574
VrIrp6m7yv,-0.02309618949674059,-0.013434201009490141
dRRTayZ6bi,0.03643972445451555,0.061500996258870406
AKLNlkERTq,0.013474069396833804,-0.019336146542660287
zSR3rLtcxi,-0.005332744106143833,-0.03219726671718937
uoKq7jQPCq,-0.005332341432692328,-0.03218770026938526
7T2t9ZDXbR,-0.005309313221014682,-0.032180411003251204
GnrU0kMlz5,-0.005309031349598628,-0.03217371448978832
7nsuGTqmJx,0.011181511782302908,-0.11833378303118784
63aW8Nx8IJ,-0.03897319566367545,-0.023476551017253638
1y2uxD7vDY,-0.001321000978759775,-0.06972387936924328
Zc9KVJw0KY,0.008980591203134968,0.08304384477033969
l9fIYUAz72,-0.005427153514587902,-0.049028679233842624
IwFEpHtEye,0.02143568884726828,-0.0590269503450125
